id,VCF_SAMPLE_NAME,ORDER_IN_VCF,latitude,longitude,CONTINENT,COUNTRY,LINEAGE,YEAR,HOST_FAMILY,TYPE,Chytridiomycosis,tree_leaf_name,match_score,match_type
MexMkt,MexMkt,154,19.432605,-99.133372,North America,Mexico,GPL,2009,Ambystomatidae,Trade,Y,,0.0,unmatched
MG3,MG3,148,-27.682836,29.57863,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,N,,0.0,unmatched
MG4,MG4,149,-34.093316,18.42167,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,N,,0.0,unmatched
MG8,MG8,150,-23.85,30.033333,Africa,South Africa,GPL,2008,Pyxicephalidae,Wild,N,,0.0,unmatched
MLA1,MLA1,151,-32.406266,-65.98798,South America,Argentina,GPL,2009,Hylidae,Wild,Y,,0.0,unmatched
MODS27_3,MODS27.3,152,40.745833,9.361111,Europe,Italy,GPL,2010,Alytidae,Wild,Y,,0.0,unmatched
MODS28,MODS28,153,40.745833,9.361111,Europe,Italy,GPL,2010,Alytidae,Wild,N,,0.0,unmatched
NBRC106979,NBRC106979,155,35.576435,139.388626,Asia,Japan,GPL,2007,Ceratophryidae,Wild,N,,0.0,unmatched
PENNEWT,PENNEWT,157,40.85,-3.9559,Europe,Spain,GPL,2011,Salamandridae,Wild,Y,PENNEWT,100.0,exact
PENS-2-4,PENS-2.4,158,40.839869,-3.957348,Europe,Spain,GPL,2014,Salamandridae,Wild,Y,PENS.2.4,100.0,exact
PENS-9-2,PENS-9.2,159,40.839869,-3.957348,Europe,Spain,GPL,2014,Salamandridae,Wild,Y,PENS.9.2,100.0,exact
picosAo1,picosAo1,235,43.26418,-4.95328,Europe,Spain,GPL,2010,Alytidae,Wild,Y,picosAo1,100.0,exact
PNP15150,PNP15150,160,42.92205,-0.702633333,Europe,France,GPL,2015,Alytidae,Wild,Y,PNP15150,100.0,exact
PNP15153,PNP15153,161,42.92205,-0.702633333,Europe,France,GPL,2015,Alytidae,Wild,Y,PNP15153,100.0,exact
PUITS_11,PUITS_11,162,42.86428333,-0.6332,Europe,France,GPL,2011,Alytidae,Wild,Y,PUITS.11,100.0,exact
RAB1,RAB1,163,42.852876,0.144684,Europe,France,GPL,2012,Alytidae,Wild,N,,0.0,unmatched
RAS3,RAS3,164,47.014894,8.193292,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
RC4,RC4,165,47.591329,1.897041,Europe,France,GPL,2010,Ranidae,Wild,N,RC4,100.0,exact
RC5_1,RC5.1_2015,166,47.591329,1.897041,Europe,France,GPL,2010,Ranidae,Wild,N,RC5.1,100.0,exact
REPSOL,REPSOL,167,44.591229,-0.517809,Europe,France,GPL,2012,Ranidae,Wild,N,,0.0,unmatched
SA-EC1,SA-EC1,168,-30.598095,29.894511,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.EC1,100.0,exact
SA-NC1,SA-NC1,170,-28.91356,19.0014167,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC1,100.0,exact
SA-NC10,SA-NC10,171,-28.69598,17.597361,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC10,100.0,exact
SA-NC2,SA-NC2,172,-28.91356,19.0014167,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC2,100.0,exact
SA-NC3,SA-NC3,173,-28.91356,19.0014167,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC3,100.0,exact
SA-NC4,SA-NC4,174,-28.91356,19.0014167,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC4,100.0,exact
SA-NC5,SA-NC5,175,-28.91356,19.0014167,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC5,100.0,exact
SA-NC6,SA-NC6,176,-28.73725,19.299222,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC6,100.0,exact
SA-NC7,SA-NC7,177,-28.73725,19.299222,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC7,100.0,exact
SA-NC8,SA-NC8,178,-28.69598,17.597361,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,N,SA.NC8,100.0,exact
SA-NC9,SA-NC9,179,-28.69598,17.597361,Africa,South Africa,GPL,2015,Pyxicephalidae,Wild,Y,SA.NC9,100.0,exact
SAEC-6,SAEC-6,186,-30.72189,26.9064555,Africa,South Africa,GPL,2016,Pyxicephalidae,Wild,N,SAEC.6,100.0,exact
SAEC-7,SAEC-7,187,-30.72189,26.9064555,Africa,South Africa,GPL,2016,Pyxicephalidae,Wild,Y,SAEC.7,100.0,exact
SCH,SCH,194,47.027141,8.281869,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
SFBC014,SFBC014,195,54.425439,-3.513852,Europe,UK,GPL,2010,Bufonidae,Wild,Y,,0.0,unmatched
SP10,SP10,196,40.5275,9.588056,Europe,Italy,GPL,2010,Alytidae,Wild,N,,0.0,unmatched
SRS812,SRS812,197,33.391525,-81.716981,North America,USA,GPL,2006,Ranidae,Wild,N,,0.0,unmatched
STR3,STR3,198,47.48398671,7.800976577,Europe,Switzerland,GPL,2011,Alytidae,Wild,N,,0.0,unmatched
SWED-40-5-04,SWED-40.5.04,199,55.633978,13.005419,Europe,Sweden,GPL,2016,Bufonidae,Wild,N,SWED.40.5.04,100.0,exact
SWED-40-5-13,SWED-40.5.13,200,55.633978,13.005419,Europe,Sweden,GPL,2016,Bufonidae,Wild,N,SWED.40.5.13,100.0,exact
